match_id,win,blue_dragons,blue_heralds,blue_towers,blue_kills,blue_firstBlood,blue_voidgrubs,red_dragons,red_heralds,red_towers,red_kills,red_voidgrubs,blue_top_gold,blue_top_cs,blue_top_kills,blue_top_deaths,blue_top_champion,blue_top_tag,red_top_gold,red_top_cs,red_top_kills,red_top_deaths,red_top_champion,red_top_tag,top_gold_diff,blue_jungle_gold,blue_jungle_cs,blue_jungle_kills,blue_jungle_deaths,blue_jungle_champion,blue_jungle_tag,red_jungle_gold,red_jungle_cs,red_jungle_kills,red_jungle_deaths,red_jungle_champion,red_jungle_tag,jungle_gold_diff,blue_middle_gold,blue_middle_cs,blue_middle_kills,blue_middle_deaths,blue_middle_champion,blue_middle_tag,red_middle_gold,red_middle_cs,red_middle_kills,red_middle_deaths,red_middle_champion,red_middle_tag,middle_gold_diff,blue_bottom_gold,blue_bottom_cs,blue_bottom_kills,blue_bottom_deaths,blue_bottom_champion,blue_bottom_tag,red_bottom_gold,red_bottom_cs,red_bottom_kills,red_bottom_deaths,red_bottom_champion,red_bottom_tag,bottom_gold_diff,blue_utility_gold,blue_utility_cs,blue_utility_kills,blue_utility_deaths,blue_utility_champion,blue_utility_tag,red_utility_gold,red_utility_cs,red_utility_kills,red_utility_deaths,red_utility_champion,red_utility_tag,utility_gold_diff,blue_comp,red_comp
KR_8225221196,0,1,0,1,22,0,1,0,0,2,20,2,4578,95,1,5,Jax,Fighter,7407,128,4,1,Fiora,Fighter,-2829,7399,101,6,4,Taliyah,Mage,5732,130,1,3,Karthus,Mage,1667,6896,128,5,1,Talon,Assassin,7926,95,6,4,Akshan,Marksman,-1030,9158,123,6,5,Zeri,Marksman,7785,94,8,9,Caitlyn,Marksman,1373,5279,9,4,6,Nautilus,Tank,4836,14,1,5,Rell,Tank,443,혼합조합,하이퍼캐리
KR_8224624199,0,0,0,0,16,0,3,2,0,2,12,0,6212,99,3,3,Jax,Fighter,4790,98,1,3,Vladimir,Mage,1422,7226,109,4,2,LeeSin,Fighter,5140,97,0,1,JarvanIV,Tank,2086,5144,96,2,3,Taliyah,Mage,6989,104,7,5,XinZhao,Fighter,-1845,7254,132,3,0,Kaisa,Marksman,6428,123,4,4,Smolder,Marksman,826,5691,19,4,4,Camille,Fighter,3856,29,0,3,Rakan,Support,1835,브루저조합,혼합조합
KR_8216922789,0,0,0,4,11,0,3,2,0,0,27,0,5017,92,2,5,XinZhao,Fighter,7949,120,6,3,DrMundo,Fighter,-2932,7342,101,6,6,Talon,Assassin,6892,135,4,1,FiddleSticks,Unknown,450,4466,80,1,5,Vladimir,Mage,7563,117,7,4,Cassiopeia,Mage,-3097,5935,123,1,5,Caitlyn,Marksman,9804,129,10,1,Varus,Marksman,-3869,4247,33,1,6,Thresh,Support,5197,13,0,2,Nautilus,Tank,-950,혼합조합,혼합조합
KR_8226532570,0,1,0,2,9,0,0,0,0,0,13,3,3644,67,0,6,Aatrox,Fighter,6997,117,7,1,Zaahen,Unknown,-3353,7710,94,5,2,Talon,Assassin,5486,96,2,2,Skarner,Fighter,2224,5160,107,2,2,Viktor,Mage,5423,109,2,3,Sylas,Mage,-263,5383,106,2,2,Vayne,Marksman,6563,134,2,3,Lucian,Marksman,-1180,3770,25,0,1,Blitzcrank,Tank,3601,22,0,0,Braum,Support,169,혼합조합,혼합조합
KR_8227098078,1,2,0,0,20,1,3,0,0,4,9,0,6619,139,1,2,Jayce,Fighter,5324,94,2,1,Malphite,Tank,1295,9004,144,8,2,Karthus,Mage,5898,85,1,3,Zed,Assassin,3106,7070,116,6,2,Talon,Assassin,5368,77,2,6,TwistedFate,Mage,1702,7227,134,5,0,Aphelios,Marksman,4538,76,0,6,Ezreal,Marksman,2689,4909,26,0,3,Thresh,Support,5299,15,4,4,Senna,Marksman,-390,혼합조합,하이퍼캐리
KR_8127943090,1,0,0,0,16,0,3,2,0,0,15,0,6361,93,5,3,Olaf,Fighter,6085,114,4,6,Cassiopeia,Mage,276,6272,114,4,3,Nocturne,Assassin,7328,103,6,0,LeeSin,Fighter,-1056,5225,124,1,4,Zoe,Mage,6897,138,3,1,Mel,Unknown,-1672,6111,99,6,2,XinZhao,Fighter,5106,96,1,5,Kalista,Marksman,1005,3655,22,0,3,Alistar,Tank,3871,13,1,4,Renata,Support,-216,혼합조합,혼합조합
KR_8226183644,0,1,0,0,6,1,0,0,0,0,7,3,5220,148,0,0,Teemo,Marksman,5017,142,0,0,Sion,Tank,203,5326,107,1,1,Naafiri,Assassin,5591,105,2,1,Evelynn,Assassin,-265,6543,134,5,2,Ambessa,Unknown,5839,126,2,4,Talon,Assassin,704,5611,133,0,3,Caitlyn,Marksman,6689,145,2,1,Kaisa,Marksman,-1078,3901,24,0,1,Bard,Support,4044,27,1,0,Blitzcrank,Tank,-143,하이퍼캐리,암살자조합
KR_8222532017,0,0,0,0,12,0,3,2,0,0,8,0,5892,138,2,2,Sett,Fighter,5135,106,2,2,Ambessa,Unknown,757,6852,103,6,1,LeeSin,Fighter,6017,97,1,3,Vi,Fighter,835,5426,148,0,0,Akali,Assassin,5260,122,1,1,Viktor,Mage,166,6739,115,3,2,Jhin,Marksman,5845,102,2,3,Lucian,Marksman,894,4205,19,1,3,Brand,Mage,4287,25,2,3,Milio,Support,-82,혼합조합,혼합조합
KR_8190766113,1,2,0,0,10,1,3,0,0,1,9,0,4836,113,0,5,Zaahen,Unknown,5888,128,2,2,KSante,Tank,-1052,6600,105,4,1,LeeSin,Fighter,6859,100,4,1,Zac,Tank,-259,5549,120,2,1,Galio,Tank,5098,137,0,2,Smolder,Marksman,451,6713,123,3,0,Jhin,Marksman,5763,122,3,2,Karthus,Mage,950,4545,20,1,2,Zilean,Support,3741,27,0,3,Seraphine,Mage,804,혼합조합,혼합조합
KR_8224498683,1,1,0,0,16,0,3,0,0,1,15,0,5430,119,2,3,Ambessa,Unknown,5305,112,1,2,Camille,Fighter,125,6257,103,6,2,MonkeyKing,Fighter,7409,120,7,1,XinZhao,Fighter,-1152,4788,114,1,3,Sylas,Mage,7636,128,6,0,Nunu,Tank,-2848,8135,130,7,2,Jinx,Marksman,4838,79,1,6,Smolder,Marksman,3297,4218,10,0,5,Alistar,Tank,4077,9,0,7,Bard,Support,141,혼합조합,혼합조합
KR_8224138831,0,1,0,1,19,0,2,0,0,1,18,1,4899,110,0,3,Gwen,Fighter,6570,128,3,2,Darius,Fighter,-1671,7580,104,8,3,LeeSin,Fighter,6200,106,3,3,RekSai,Fighter,1380,5080,101,2,4,Ryze,Mage,6341,123,3,2,Aurora,Unknown,-1261,9174,124,7,4,Ezreal,Marksman,6359,114,3,7,Ashe,Marksman,2815,5170,25,2,4,Nautilus,Tank,5968,19,6,5,Seraphine,Mage,-798,혼합조합,혼합조합
